#-------------------------------
# The Ultimate Trial
# Boss Rush Mode
#-------------------------------
# Set: The Mansion of Mystery
#-------------------------------
[KEINE,Keine Kamishirasawa,500]
    Ball = MOONBALL
	Moves = MANABURST18,SIGNALBEAM18,SONICBOOM18,HYPNOSIS18
	Nature = TIMID
    Item = LIFEORB
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = INSOMNIA
Pokemon = HATATE,100
    Ball = MOONBALL
	Moves = TRICK18,AIRSLASH18,MANABURST18,SHADOWBALL18 //I have no idea if the AI is smart enough to make use of Trick - just give her Nasty Plot and a Sitrus Berry instead if it isn't
	Nature = MODEST
    Item = CHOICESCARF
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = TRACE
Pokemon = ATEWI,100
    Ball = MOONBALL
	Moves = BINDINGVOICE18,ENERGYBALL18,SIGNALBEAM18,SILVERWIND18
	Nature = TIMID
    Item = WEAKNESSPOLICY
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = NATURALCURE
Pokemon = SEIRAN,100
    Ball = MOONBALL
	Moves = FURYSWIPES18,MAGICKNIFE18,BULLETSEED18,BARRAGE18
	Nature = ADAMANT
    Item = ASSAULTVEST
    IV = 31,31,31,31,31,31
    EV = 0,252,0,252,0,4
	Ability = SKILLLINK
Pokemon = YORIHIME,100
    Ball = MOONBALL
	Moves = SACREDFIRE18,DRAWNLINE18,ICEPUNCH18,FIREBLAST18
	Nature = HASTY
    Item = EXPERTBELT
    IV = 31,31,31,31,31,31
    EV = 0,252,0,252,4,0
	Ability = KEENEYE
#-------------------------------
[RINGO,Ringo,500]
Pokemon = YUYUKO,100
    Ball = MOONBALL
	Moves = SHADOWBALL18,ICEBEAM18,GIGADRAIN18,WILLOWISP18
	Nature = TIMID
    Item = EXPERTBELT
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = LEVITATE
Pokemon = ADLETTY,100
    Ball = MOONBALL
	Moves = BRAVER18,ICESHARD18,SWORDSDANCE18,EARTHQUAKE18
	Nature = ADAMANT
    Item = WEAKNESSPOLICY
    IV = 31,31,31,31,31,31
    EV = 252,252,4,0,0,0
	Ability = ADVENT
Pokemon = TOYOHIME,100
    Ball = MOONBALL
	Moves = EARTHPOWER18,HYDROPUMP18,DRACOMETEOR18,YAWN18
	Nature = MODEST
    Item = WHITEHERB
    IV = 31,31,31,31,31,31
    EV = 252,0,4,0,252,0
	Ability = OWNTEMPO
Pokemon = HMYSTIA,100
    Ball = MOONBALL
	Moves = ROOST18,AIRSLASH18,PERISHSONG18,ICYWIND18
	Nature = CALM
    Item = LEFTOVERS
    IV = 31,31,31,31,31,31
    EV = 252,0,4,0,0,252
	Ability = CUTECHARM
Pokemon = HAKUREI,100
    Ball = MOONBALL
	Moves = SUPERPOWER18,EXTRASENSORY18,ANCIENTPOWER18,SHADOWBALL18
	Nature = HASTY
    Item = LIFEORB
    IV = 31,31,31,31,31,31
    EV = 0,4,0,252,252,0
	Ability = HAKUREIMIKO
Pokemon = RINGO,100
	Ball = MOONBALL
	Moves = CRUNCH18,HIJUMPKICK18,BELLYDRUM18,EXTREMESPEED18
	Nature = ADAMANT
    Item = SALACBERRY
    IV = 31,31,31,31,31,31
    EV = 4,252,0,252,0,0
	Ability = GLUTTONY
#-------------------------------
[DOREMY,Doremy Sweet,500]
Pokemon = DOREMY,100
	Ball = DREAMBALL
	Name = R.E.M.
	Moves = NIGHTMARE18,DREAMEATER18,YAWN18,CALMMIND18
	Nature = CALM
    Item = LEFTOVERS
    IV = 31,31,31,31,31,31
    EV = 252,0,252,0,0,4
	Ability = BADDREAMS
Pokemon = TSUMIREKO,100
    Ball = DREAMBALL
	Ability = LUCIDDREAMING
	Name = Dreamwalk
	Moves = REST18,CALMMIND18,MANABURST18,SIGNALBEAM18
	Nature = MODEST
    Item = WEAKNESSPOLICY
    IV = 31,31,31,31,31,31
    EV = 252,0,0,0,252,4
Pokemon = GENGETSU,100
    Ball = DREAMBALL
	Name = Lucidity
	Moves = AEROBLAST18,HYPERBEAM18,AIRSLASH18,ICEBEAM18
	Nature = TIMID
    Item = EXPERTBELT
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = PRESSURE
Pokemon = MAGISTONES,100
	Name = Tumbler~
	Ball = DREAMBALL
	Moves = LUSTERPURGE18,BLIZZARD18,FIREBLAST18,RECOVER18
	Nature = MODEST
    Item = WIDELENS
    IV = 31,31,31,31,31,31
    EV = 252,0,0,0,252,4
	Ability = GATEKEEPER
Pokemon = AKAZAMI,100
	Name = Nighterror
	Ball = DREAMBALL
	Moves = POWERWHIP18,SOAR18,HEARTBREAK18,EARTHQUAKE18
	Nature = JOLLY
    Item = LIFEORB
    IV = 31,31,31,31,31,31
    EV = 4,252,0,252,0,0
	Ability = OVERGROW
Pokemon = DOREMY,100
	Name = Dreamweave
	Moves = REST18,LUNATIC18,NASTYPLOT18,TRIATTACK18
	Nature = MODEST
	Shiny = yes
	Item = CHESTOBERRY
    IV = 31,31,31,31,31,31
    EV = 252,0,0,0,252,0
	Ball = DREAMBALL
	Ability = OWNTEMPO
#-------------------------------
[CLOWNPIECET,Clownpiece,500]
Pokemon = ALUNA,100
	Ball = FASTBALL
	Moves = DISCHARGE18,SIGNALBEAM18,NATURESOUND18,LUNATIC18
	Nature = MODEST
    Item = ASSAULTVEST
    IV = 31,31,31,31,31,31
    EV = 4,0,0,0,252,252
	Ability = VOLTABSORB
Pokemon = HECATIA,100
	Ball = FASTBALL
	Moves = TRIRHAPSODY18,EARTHPOWER18,HYDROPUMP18,CHARGEBEAM18
	Nature = TIMID
    Item = LUMBERRY
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = MOLDBREAKER
Pokemon = CLOWNPIECE,100
	Ball = FASTBALL
	Moves = HEATWAVE18,PRANK18,WILLOWISP18,OMINOUSWIND18
	Nature = TIMID
    Item = GOTHICLOLITA
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = LEVITATE
Pokemon = JUNKO,100
	Ball = FASTBALL
	Moves = PRISTINELUNACY18,REVENGE18,SACREDFIRE18,RECOVER18
	Nature = ADAMANT
    Item = EXPERTBELT
    IV = 31,31,31,31,31,31
    EV = 252,252,4,0,0,0
	Ability = ANGERPOINT
Pokemon = CLOWNPIECE,100
	Ball = FASTBALL
	Moves = FIREBLAST18,LUNATIC18,NIGHTMARE18,TORMENT18
	Nature = MODEST
    Item = SALACBERRY
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = LEVITATE
Pokemon = KONNGARA,100
	Ball = FASTBALL
	Moves = BRAVER18,GUNKSHOT18,SCARYFACE18,RECOVER18
	Nature = ADAMANT
    Item = LEFTOVERS
    IV = 31,31,31,31,31,31
    EV = 4,252,252,0,0,0
	Ability = STURDY
#-------------------------------
[JUNKO,Junko,500]
Pokemon = AMOKOU,100
	Name = Wrath
	Moves = SUPERPOWER18,BLAZEKICK18,THUNDERPUNCH18,ERUPTION18
	Nature = MILD
    Item = LIFEORB
    IV = 31,31,31,31,31,31
    EV = 4,252,0,0,252,0
	Ability = FLAMEBODY
Pokemon = TPARSEE,100
	Name = Invidia
	Moves = NIGHTMARE18,DESTINYBOND18,MIRRORCOAT18,WILLOWISP18
	Nature = CALM
    Item = LEFTOVERS
    IV = 31,31,31,31,31,31
    EV = 252,0,4,0,0,252
	Ability = INSOMNIA
Pokemon = ASUWAKO,100
	Name = Pestilence
	Moves = EARTHQUAKE18,ICEPUNCH18,METEORMASH18,DIZZYPUNCH18
	Nature = ADAMANT
    Item = EXPERTBELT
    IV = 31,31,31,31,31,31
    EV = 4,252,252,0,0,0
	Ability = WATERVEIL
Pokemon = JUNKO,100
	Name = Fury
	Moves = PRISTINELUNACY18,OUTRAGE18,SACREDFIRE18,RECOVER18
	Nature = ADAMANT
    Item = WEAKNESSPOLICY
    IV = 31,31,31,31,31,31
    EV = 252,252,4,0,0,0
	Ability = HISTRENGTH
Pokemon = DARKALICE,100
	Name = Pride
	Moves = MANABURST18,HYPERBEAM18,FIREBLAST18,HEARTSEYE18
	Nature = TIMID
    Item = LUMBERRY
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = LEVITATE
Pokemon = SARIEL,100
	Name = Death
	Moves = SILVERWIND18,DARKPULSE18,MANABURST18,ENERGYBALL18
	Nature = MODEST
    Item = ASSAULTVEST
    IV = 31,31,31,31,31,31
    EV = 4,0,0,0,252,252
	Ability = BARRIER
#-------------------------------
[HECATIA,Hecatia Lapislazuli,500]
Pokemon = CLOWNPIECE,100
	Moves = LUNATIC18,FIREBLAST18,DARKPULSE18,WILLOWISP18
	Nature = TIMID
    Item = LUMBERRY
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = LEVITATE
Pokemon = TSATORI,100
	Moves = EARTHQUAKE18,BLIZZARD18,SIGNALBEAM18,MANABURST18
	Nature = QUIET
    Item = ASSAULTVEST
    IV = 31,31,31,31,31,31
    EV = 252,4,0,0,252,0
	Ability = TRACE
Pokemon = KIKURI,100
	Moves = DREAMEATER18,MANABURST18,ICEBEAM18,RECOVER18
	Nature = CALM
    Item = LEFTOVERS
    IV = 31,31,31,31,31,31
    EV = 252,0,4,0,0,252
	Ability = LEVITATE
Pokemon = HECATIA,100
	Moves = TRIRHAPSODY18,HYDROPUMP18,ANCIENTPOWER18,CHARGEBEAM18
	Nature = MODEST
    Item = WIDELENS
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = MOLDBREAKER
Pokemon = SHINKI,100
	Moves = EXTRASENSORY18,HYPERBEAM18,THUNDERBOLT18,FLAMETHROWER18
	Nature = MODEST
    Item = EXPERTBELT
    IV = 31,31,31,31,31,31
    EV = 252,0,0,0,252,4
	Ability = PRESSURE
Pokemon = KONNGARA,100
	Moves = DRAWNLINE18,POISONJAB18,BRICKBREAK18,DETECT18
	Nature = JOLLY
    Item = SALACBERRY
    IV = 31,31,31,31,31,31
    EV = 4,252,0,252,0,0
	Ability = STURDY
#-------------------------------
[REISEN2,Rei'sen,500]
Pokemon = REISENII,100
	Ball = MOONBALL
	Moves = ENDEAVOR18,QUICKATTACK18,SWAGGER18,DETECT18
	Nature = ADAMANT
    Item = FOCUSSASH
    IV = 31,31,31,31,31,31
    EV = 0,252,0,252,0,0
	Ability = RUNAWAY
Pokemon = DOREMY,100
	Ball = MOONBALL
	Moves = NASTYPLOT18,BATONPASS18,TRIATTACK18,REST18
	Nature = MODEST
    Item = CHESTOBERRY
    IV = 31,31,31,31,31,31
    EV = 252,0,0,0,252,4
	Ability = OWNTEMPO
Pokemon = SAGUME,100
	Ball = MOONBALL
	Moves = JAMMING18,PERISHSONG18,PAINSPLIT18,DECISION18
	Nature = TIMID
    Item = FOCUSBAND
    IV = 31,31,31,31,31,31
    EV = 252,0,0,252,4,0
	Ability = GLAMOROUS
Pokemon = TOYOHIME,100
	Ball = MOONBALL
	Moves = CALMMIND18,ANCIENTPOWER18,SURF18,YAWN18
	Nature = MODEST
    Item = LEFTOVERS
    IV = 31,31,31,31,31,31
    EV = 252,0,0,0,252,4
	Ability = OWNTEMPO
Pokemon = AEIRIN,100
	Ball = MOONBALL
	Moves = ZENHEADBUTT18,GUNKSHOT18,ICEPUNCH18,SLEEPPOWDER18
	Nature = ADAMANT
    Item = EXPERTBELT
    IV = 31,31,31,31,31,31
    EV = 4,252,0,252,0,0
	Ability = SYNCHRONIZE
Pokemon = TREISEN,100
	Ball = MOONBALL
	Moves = HYPNOSIS18,SIGNALBEAM18,POISONBOMB18,LIGHTSCREEN18
	Nature = TIMID
    Item = LUMBERRY
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = INSOMNIA
#-------------------------------
[SAGUME,Sagume Kishin,500]
Pokemon = SAGUME,100
	Ball = MOONBALL
	Moves = NASTYPLOT18,SILVERWIND18,BINDINGVOICE18,AEROBLAST18
	Nature = TIMID
    Item = LUMBERRY
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = LEVITATE
Pokemon = AIDIALGA,100
    Ball = MOONBALL
    Shiny = yes
	Moves = LUNATIC18,FIREBLAST18,THUNDERBOLT18,HYDROPUMP18
	Nature = MODEST
    Item = ASSAULTVEST
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = INTIMIDATE
Pokemon = DHINA,100
	Ball = MOONBALL
	Moves = PAINSPLIT18,WILLOWISP18,GIGADRAIN18,POISONBOMB18
	Nature = BOLD
    Item = LEFTOVERS
    IV = 31,31,31,31,31,31
    EV = 252,0,252,0,0,4
	Ability = LEVITATE
Pokemon = DOREMY,100
	Ball = DREAMBALL
	Moves = DREAMEATER18,TRIATTACK18,BATONPASS18,NASTYPLOT18
	Nature = MODEST
    Item = WEAKNESSPOLICY
    IV = 31,31,31,31,31,31
    EV = 252,0,4,0,252,0
	Ability = OWNTEMPO
Pokemon = AIPALKIA,100
	Ball = MOONBALL
	Shiny = yes
	Moves = LUNATIC18,DRACOMETEOR18,ENERGYBALL18,ANCIENTPOWER18
	Nature = MODEST
    Item = WHITEHERB
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = INTIMIDATE
Pokemon = AEIRIN,100
	Name = Omoikane
	Ball = MOONBALL
	Moves = GUNKSHOT18,ICEPUNCH18,ZENHEADBUTT18,SLEEPPOWDER18
	Nature = JOLLY
    Item = SALACBERRY
    IV = 31,31,31,31,31,31
    EV = 4,252,0,252,0,0
	Ability = SYNCHRONIZE
#-------------------------------
[TOYOHIME,Watatsuki no Toyohime,500]
LoseText = Such power! Wouldn't you agree sister?
Pokemon = HEIRIN,100
	Ball = MOONBALL
	Moves = BURNPOWDER18,AQUASHOWER18,MANABURST18,POISONBOMB18
	Nature = TIMID
    Item = PETAYABERRY
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = NATURALCURE
Pokemon = ADYUKARI,100
	Ball = MOONBALL
	Moves = NASTYPLOT18,THUNDERWAVE18,ENERGYBALL18,DRACOMETEOR18
	Nature = MODEST
    Item = WHITEHERB
    IV = 31,31,31,31,31,31
    EV = 252,0,0,0,252,4
	Ability = ADVENT
Pokemon = SKOMACHI,100
	Ball = MOONBALL
	Moves = WATERFALL18,KNOCKOFF18,RAINDANCE18,SWORDSDANCE18
	Nature = ADAMANT
    Item = LIFEORB
    IV = 31,31,31,31,31,31
    EV = 4,252,0,252,0,0
	Ability = SWIFTSWIM
Pokemon = YUMEMI,100
	Ball = MOONBALL
	Moves = ICEBEAM18,MANABURST18,TRIATTACK18,SONICBOOM18
	Nature = TIMID
    Item = EXPERTBELT
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = SOUNDPROOF
Pokemon = TSAKUYA,100
	Ball = MOONBALL
	Moves = LIGHTSCREEN18,BLIZZARD18,LUSTERPURGE18,SONICBOOM18
	Nature = MODEST
    Item = LEFTOVERS
    IV = 31,31,31,31,31,31
    EV = 252,0,4,0,252,0
	Ability = FOCUS
Pokemon = TTOYOHIME,100
	Ball = MOONBALL
	Moves = CALMMIND18,EARTHPOWER18,MUDDYWATER18,MANABURST18
	Nature = BOLD
    Item = ANTINATURE
    IV = 31,31,31,31,31,31
    EV = 252,0,252,0,0,4
	Ability = OWNTEMPO

#-------------------------------
[YORIHIME,Watatsuki no Yorihime,500]
LoseText = Yes, quite. So, this is the potential of Gensokyo's Puppet Handlers...
Pokemon = AKAGUYA,100
	Ball = MOONBALL
	Moves = BLASTBURN18,SPIKES18,FIREPUNCH18,ROCKTOMB18
	Nature = HASTY
    Item = ANTIHYDRO
    IV = 31,31,31,31,31,31
    EV = 0,252,0,252,4,0
	Ability = BLAZE
Pokemon = AMIKO,100
	Ball = MOONBALL
	Moves = BRAVER18,SACREDFIRE18,SWORDSDANCE18,PSYCHOCUT18
	Nature = JOLLY
    Item = LIECHIBERRY
    IV = 31,31,31,31,31,31
    EV = 4,252,0,252,0,0
	Ability = INTIMIDATE
Pokemon = DMOMIJI,100
	Ball = MOONBALL
	Moves = REST18,SLEEPTALK18,KILLINGBITE18,BRAVER18
	Nature = IMPISH
    Item = LEFTOVERS
    IV = 31,31,31,31,31,31
    EV = 252,4,252,0,0,0
	Ability = EARLYBIRD
Pokemon = SYOUMU,100
	Ball = MOONBALL
	Moves = SWORDSDANCE18,SHADOWHIT18,BATTLECHANT18,HIJUMPKICK18
	Nature = JOLLY
    Item = LUMBERRY
    IV = 31,31,31,31,31,31
    EV = 4,252,0,252,0,0
	Ability = INNERFOCUS
Pokemon = ATENSHI,100
	Ball = MOONBALL
	Moves = ROCKWRECKER18,DRAWNLINE18,SWAGGER18,POISONJAB18
	Nature = ADAMANT
    Item = LIFEORB
    IV = 31,31,31,31,31,31
    EV = 4,252,0,252,0,0
	Ability = STURDY
Pokemon = SYORIHIME,100
	Ball = MOONBALL
	Moves = EXTRASENSORY18,SONICBOOM18,CALMMIND18,THUNDER18
	Nature = MODEST
    Item = EXPERTBELT
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = KEENEYE
#-------------------------------
# Set: The Last Adventure
#-------------------------------
[MIMA,Mima,500]
Pokemon = KIRISAME,100
	Ball = DUSKBALL
	Moves = PSYCHOBOOST18,AEROBLAST18,SIGNALBEAM18,DARKPULSE18
	Nature = MODEST
    Item = WHITEHERB
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Shiny = yes
	Ability = FLASHFIRE
Pokemon = APATCHOULI,100
	Ball = DUSKBALL
	Moves = FIREBLAST18,HYDROPUMP18,BLIZZARD18,MANABURST18
	Nature = MODEST
    Item = WIDELENS
    IV = 31,31,31,31,31,31
    EV = 252,0,0,0,252,4
	Ability = TORRENT
Pokemon = TALICE,100
	Ball = DUSKBALL
	Moves = SWORDSDANCE18,MAGICKNIFE18,ICEPUNCH18,THUNDERPUNCH18
	Nature = JOLLY
    Item = LUMBERRY
    IV = 31,31,31,31,31,31
    EV = 4,252,0,252,0,0
	Ability = BARRIER
Pokemon = MAGISTONES,100
	Ball = DUSKBALL
	Moves = MANACHARGE18,MANABURST18,EXTRASENSORY18,RECOVER18
	Nature = MODEST
    Item = LEFTOVERS
    IV = 31,31,31,31,31,31
    EV = 252,0,4,0,252,0
	Shiny = yes
Pokemon = SENDAI,100
	Ball = DUSKBALL
	Moves = SACREDIRE18,EARTHQUAKE18,HIJUMPKICK18,FIREPUNCH18
	Nature = ADAMANT
    Item = WEAKNESSPOLICY
    IV = 31,31,31,31,31,31
    EV = 252,252,4,0,0,0
	Shiny = yes
	Name = Ayame
Pokemon = MIMA,100
	Ball = DUSKBALL
	Moves = SHADOWBALL18,HYPERBEAM18,THUNDERBOLT18,NIGHTSHADE18
	Nature = TIMID
    Item = SALACBERRY
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
#-------------------------------
[MEIMU,Meimu,500]
Pokemon = MASHA,100
        Ball = FAKEORB
		Moves = CREEPINGMYCELIUM,GUNKSHOT18,ZENHEADBUTT18,SYNTHESIS18
		Nature = JOLLY
		Item = WEAKNESSPOLICY
		IV = 31,31,31,31,31,31
		EV = 4,252,0,252,0,0
		Ability = MYCELIUMMELANCHOLY
Pokemon = KYOUKO,100
        Ball = FAKEORB
		Moves = PERISHSONG18,YAWN18,JAMMING18,HYPERVOICE18
		Nature = CALM
		Item = SITRUSBERRY
		IV = 31,31,31,31,31,31
		EV = 252,0,0,0,4,252
		Ability = SOUNDPROOF
Pokemon = SUGAR,100
        Ball = FAKEORB
		Moves = FAETRICKERY,POWERWHIP18,ENERGYBALL18,HYPNOSIS18
		Nature = HASTY
		Item = LUMBERRY
		IV = 31,31,31,31,31,31
		EV = 0,128,0,252,128,0
		Ability = SENSORYTRICKERY
Pokemon = MARGATROID,100
        Ball = FAKEORB
		Moves = TRIATTACK18,ICEBEAM18,FLAMETHROWER18,THUNDERBOLT18
		Nature = MODEST
		Item = ASSAULTVEST
		IV = 31,31,31,31,31,31
		EV = 4,0,0,0,252,252
		Ability = SERENEGRACE
Pokemon = TORAKO,100
        Ball = FAKEORB
		Moves = ENCHANTINGCONE,JAMMING18,TRIATTACK18,SHADOWBALL18
		Nature = BOLD
		Item = LEFTOVERS
		IV = 31,31,31,31,31,31
		EV = 252,0,4,0,0,252
		Ability = INNOCENTCONE
Pokemon = ASUKUNA,100
        Ball = FAKEORB
		Moves = SWORDSDANCE18,BODYSLAM18,METEORMASH18,EARTHQUAKE18
		Nature = ADAMANT
		Item = FOCUSSASH
		IV = 31,31,31,31,31,31
		EV = 4,252,0,252,0,0
		Ability = GUTS
#-------------------------------
[MEIMU,Meimu,501]
Pokemon = NAMAZU,100
        Ball = FAKEORB
		Moves = EARTHQUAKE18,BODYSLAM18,CURSE18,REST18
		Nature = BRAVE
		Item = CHESTOBERRY
		IV = 31,31,31,31,31,31
		EV = 252,252,4,0,0,0
		Ability = WATERABSORB
Pokemon = RUUKOTO,100
        Ball = FAKEORB
		Moves = LIGHTSCREEN18,REFLECT18,TOXIC18,MEMENTO18
		Nature = CALM
		Item = QUICKCLAW
		IV = 31,31,31,31,31,31
		EV = 252,0,4,0,0,252
		Ability = STURDY
Pokemon = MAGAN,100
        Ball = FAKEORB
		Moves = POISONBOMB18,FLAMETHROWER18,PAINSPLIT18,GIGADRAIN18
		Nature = MODEST
		Item = ANTIREASON
		IV = 31,31,31,31,31,31
		EV = 252,0,4,0,252,0
		Ability = LEVITATE
Pokemon = NEJIRETA,100
        Ball = FAKEORB
		Moves = SPIRALABYSS,THRASH18,POISONJAB18,DRAINPUNCH18
		Nature = JOLLY
		Item = LUMBERRY
		IV = 31,31,31,31,31,31
		EV = 4,252,0,252,0,0
		Ability = SPIRALARCHITECT
Pokemon = SSARIEL,100
        Ball = FAKEORB
		Moves = HYPERBEAM18,AIRSLASH18,THUNDERBOLT18,MANABURST18
		Nature = TIMID
		Item = FOCUSSASH
		IV = 31,31,31,31,31,31
		EV = 4,0,0,252,252,0
		Ability = PRESSURE
Pokemon = MITORI,100
        Ball = FAKEORB
		Moves = PROHIBITORYSIGNBOARD,AQUASHOWER18,DARKPULSE18,RECOVER18
		Nature = BOLD
		Item = LEFTOVERS
		IV = 31,31,31,31,31,31
		EV = 252,0,252,0,0,4
		Ability = SIGNBOARDOFHATRED
#-------------------------------
[MEIMU,Meimu,502]
Pokemon = SATSUKI,100
        Ball = FAKEORB
		Moves = PERISHSONG18,DETECT18,REST18,HAZE18
		Nature = CALM
		Item = LEFTOVERS
		IV = 31,31,31,31,31,31
		EV = 252,0,128,0,0,128
		Ability = ARENATRAP
Pokemon = MIMA,100
        Ball = FAKEORB
		Moves = SHADOWBALL18,HYPERBEAM18,SECRETPOWER18,THUNDERBOLT18
		Nature = MODEST
		Item = ASSAULTVEST
		IV = 31,31,31,31,31,31
		EV = 4,0,0,0,252,252
		Ability = PRESSURE
Pokemon = KAREN,100
        Ball = FAKEORB
		Moves = LIGHTSPEED,SILVERWIND18,LUSTERPURGE18,LUNATIC18
		Nature = TIMID
		Item = WIDELENS
		IV = 31,31,31,31,31,31
		EV = 4,0,0,252,252,0
		Ability = BENEDICTION
Pokemon = ARUMIA,100
        Ball = FAKEORB
		Moves = SWORDSDANCE18,NIGHTSLASH18,POISONJAB18,SUPERPOWER18
		Nature = JOLLY
		Item = LUMBERRY
		IV = 31,31,31,31,31,31
		EV = 4,252,0,252,0,0
		Ability = LEVITATE
Pokemon = AFLANDRE,100
        Ball = FAKEORB
		Moves = GIGAIMPACT18,KILLINGBITE18,FIREPUNCH18,DYNAMICPUNCH18
		Nature = ADAMANT
		Item = EXPERTBELT
		IV = 31,31,31,31,31,31
		EV = 4,252,0,252,0,0
		Ability = HUSTLE
Pokemon = SASHA,100
        Ball = FAKEORB
		Moves = WALPURGISNIGHT,ROCKWRECKER18,DYNAMICPUNCH18,OUTRAGE18
		Nature = NAUGHTY
		Item = SALACBERRY
		IV = 31,31,31,31,31,31
		EV = 4,252,0,252,0,0
		Ability = DAIDARABOTCHI
#-------------------------------
[MEIMU,Meimu,503]
Pokemon = MEEKO,100
        Ball = FAKEORB
		Moves = UNCOUNTABLESHEEP,BINDINGVOICE18,DISCHARGE18,HEX18
		Nature = TIMID
		Item = EXPERTBELT
		IV = 31,31,31,31,31,31
		EV = 4,0,0,252,252,0
		Ability = FAITHFULSHEEP
Pokemon = MAKURA,100
        Ball = FAKEORB
		Moves = ABYSSOFCHAOS,DREAMEATER18,ZENHEADBUTT18,DRAINPUNCH18
		Nature = QUIET
		Item = ASSAULTVEST
		IV = 31,31,31,31,31,31
		EV = 4,252,0,0,252,0
		Ability = ABYSSALDREAM
Pokemon = AMOKOU,100
        Ball = FAKEORB
		Moves = AGILITY18,BLAZEKICK18,THUNDERPUNCH18,DYNAMICPUNCH18
		Nature = JOLLY
		Item = WIDELENS
		IV = 31,31,31,31,31,31
		EV = 4,252,0,252,0,0
		Ability = FLAMEBODY
Pokemon = DKAGUYA,100
        Ball = FAKEORB
		Moves = ENERGYLIGHT18,ICEBEAM18,HYDROCANNON18,RECOVER18
		Nature = MODEST
		Item = WHITEHERB
		IV = 31,31,31,31,31,31
		EV = 252,0,4,0,252,0
		Ability = TORRENT
Pokemon = DREIMU,100
        Ball = FAKEORB
		Moves = IRONDEFENSE18,CALMMIND18,REST18,EXTRASENSORY18
		Nature = CALM
		Item = LEFTOVERS
		IV = 31,31,31,31,31,31
		EV = 252,0,252,0,0,4
		Ability = HAKUREIMIKO
Pokemon = SMARISA,100
        Ball = FAKEORB
		Moves = THUNDERBOLT18,TRIATTACK18,FLAMETHROWER18,MANABURST18
		Nature = TIMID
		Item = PETAYABERRY
		IV = 31,31,31,31,31,31
		EV = 4,0,0,252,252,0
		Ability = COLLECTOR
#-------------------------------
